# Header information on force file

1_1
N 2000  R        0.012511       25.022000
  239      2.99012900      0.22833200     -1.37296500
  240      3.00264000      0.24516100     -1.29096000
  241      3.01515100      0.26064900     -1.20082800
  242      3.02766200      0.27499300     -1.10669700
  243      3.04017300      0.28858500     -1.00998900
  244      3.05268400      0.30023900     -0.91006300
  245      3.06519500      0.31106100     -0.80993900
  246      3.07770600      0.32071200     -0.70953900
  247      3.09021700      0.32873800     -0.61066200
  248      3.10272800      0.33597800     -0.51295200
  249      3.11523900      0.34170700     -0.41820000
  250      3.12775000      0.34629500     -0.32673700
  251      3.14026100      0.35014500     -0.23742800
  252      3.15277200      0.35230800     -0.15444900
  253      3.16528300      0.35380000     -0.07454700
  254      3.17779400      0.35437600      0.00114600
  255      3.19030500      0.35376900      0.07042000
  256      3.20281600      0.35262100      0.13651400
  257      3.21532700      0.35048300      0.19639200
  258      3.22783800      0.34764400      0.25126300
  259      3.24034900      0.34436100      0.30293200
  260      3.25286000      0.34014500      0.34707800
  261      3.26537100      0.33558100      0.38808900
  262      3.27788200      0.33055600      0.42493300
  263      3.29039300      0.32497400      0.45620700
  264      3.30290400      0.31915200      0.48495100
  265      3.31541500      0.31291300      0.50908300
  266      3.32792600      0.30640200      0.52990300
  267      3.34043700      0.29972100      0.54865300
  268      3.35294800      0.29271900      0.56314100
  269      3.36545900      0.28560600      0.57605400
  270      3.37797000      0.27834900      0.58693400
  271      3.39048100      0.27093400      0.59543400
  272      3.40299200      0.26345500      0.60295700
  273      3.41550300      0.25587000      0.60884200
  274      3.42801400      0.24822000      0.61371200
  275      3.44052500      0.24053000      0.61796400
  276      3.45303600      0.23276900      0.62110700
  277      3.46554700      0.22498400      0.62386500
  278      3.47805800      0.21716900      0.62614100
  279      3.49056900      0.20932100      0.62783500
  280      3.50308000      0.20146100      0.62927300
  281      3.51559100      0.19358100      0.63025400
  282      3.52810200      0.18569200      0.63085100
  283      3.54061300      0.17779900      0.63120700
  284      3.55312400      0.16990500      0.63096200
  285      3.56563500      0.16201500      0.63040000
  286      3.57814600      0.15413200      0.62945200
  287      3.59065700      0.14627200      0.62783900
  288      3.60316800      0.13842800      0.62589600
  289      3.61567900      0.13061400      0.62332100
  290      3.62819000      0.12284100      0.62017100
  291      3.64070100      0.11509200      0.61666900
  292      3.65321200      0.10741700      0.61235000
  293      3.66572300      0.09978500      0.60766300
  294      3.67823400      0.09220500      0.60254000
  295      3.69074500      0.08471900      0.59680700
  296      3.70325600      0.07728000      0.59081900
  297      3.71576700      0.06993100      0.58439400
  298      3.72827800      0.06267100      0.57766800
  299      3.74078900      0.05546400      0.57076700
  300      3.75330000      0.04839000      0.56357200
  301      3.76581100      0.04138300      0.55629500
  302      3.77832200      0.03445300      0.54892400
  303      3.79083300      0.02765300      0.54150600
  304      3.80334400      0.02091100      0.53409500
  305      3.81585500      0.01427800      0.52671900
  306      3.82836600      0.00774400      0.51942100
  307      3.84087700      0.00126700      0.51217100
  308      3.85338800     -0.00507600      0.50505700
  309      3.86589900     -0.01135200      0.49800900
  310      3.87841000     -0.01755500      0.49103400
  311      3.89092100     -0.02363600      0.48415100
  312      3.90343200     -0.02966200      0.47729400
  313      3.91594300     -0.03558800      0.47047100
  314      3.92845400     -0.04142300      0.46363300
  315      3.94096500     -0.04720200      0.45677900
  316      3.95347600     -0.05285400      0.44982900
  317      3.96598700     -0.05843800      0.44279200
  318      3.97849800     -0.06394900      0.43565900
  319      3.99100900     -0.06933300      0.42829900
  320      4.00352000     -0.07465600      0.42081900
  321      4.01603100     -0.07987100      0.41310900
  322      4.02854200     -0.08497800      0.40515300
  323      4.04105300     -0.09002200      0.39705200
  324      4.05356400     -0.09491400      0.38860500
  325      4.06607500     -0.09972100      0.37997800
  326      4.07858600     -0.10444100      0.37115900
  327      4.09109700     -0.10900100      0.36203100
  328      4.10360800     -0.11348600      0.35277500
  329      4.11611900     -0.11783900      0.34329700
  330      4.12863000     -0.12205900      0.33363800
  331      4.14114100     -0.12620200      0.32387800
  332      4.15365200     -0.13016600      0.31392700
  333      4.16616300     -0.13403100      0.30389900
  334      4.17867400     -0.13779400      0.29379000
  335      4.19118500     -0.14137600      0.28358600
  336      4.20369600     -0.14487600      0.27335000
  337      4.21620700     -0.14823100      0.26306800
  338      4.22871800     -0.15144200      0.25276200
  339      4.24122900     -0.15457100      0.24244300
  340      4.25374000     -0.15751400      0.23210500
  341      4.26625100     -0.16035300      0.22175900
  342      4.27876200     -0.16308800      0.21140300
  343      4.29127300     -0.16563700      0.20102200
  344      4.30378400     -0.16810300      0.19062600
  345      4.31629500     -0.17042300      0.18020000
