Particle 263: Vec3(x=-0.10801582686552785, y=2.384225542180282, z=2.351075246160673) nm
Particle 264: Vec3(x=3.1401928573732922, y=2.2412276978386823, z=2.419010684852715) nm
Particle 265: Vec3(x=3.219172633517004, y=2.2774330153563858, z=2.3694993705724956) nm
Particle 266: Vec3(x=3.1706054506380172, y=2.2007537636466066, z=2.505248351332932) nm
Particle 267: Vec3(x=2.7053648541115787, y=2.601751520497144, z=2.6688795645976957) nm
Particle 268: Vec3(x=2.7650547478988905, y=2.5422611419154757, z=2.6150463802789834) nm
Particle 269: Vec3(x=2.7598440297147016, y=2.651069271968633, z=2.736701236011955) nm
Particle 270: Vec3(x=-0.3108434925308413, y=2.682440290018874, z=3.152711357549024) nm
Particle 271: Vec3(x=-0.3268669691317985, y=2.585539846525106, z=3.1715143505648418) nm
Particle 272: Vec3(x=-0.2146086976592978, y=2.6963983675212457, z=3.1293867648088938) nm
Particle 273: Vec3(x=3.299307264242029, y=2.649815667262191, z=0.5242533896186344) nm
Particle 274: Vec3(x=3.3203738785448937, y=2.6857456191644062, z=0.6151667363623444) nm
Particle 275: Vec3(x=3.2891035377200164, y=2.725721837060702, z=0.4599561295712044) nm
Particle 276: Vec3(x=-0.217541678446631, y=2.8732456125748365, z=0.826638470093708) nm
Particle 277: Vec3(x=-0.17422779317672538, y=2.9295597599995737, z=0.756263585080135) nm
Particle 278: Vec3(x=-0.2770034792194054, y=2.805561624493908, z=0.7832429368633985) nm
Particle 279: Vec3(x=2.9167182394764724, y=2.532474260829038, z=0.8322443243607147) nm
Particle 280: Vec3(x=2.9348106409825574, y=2.5756082613647857, z=0.743858107655009) nm
Particle 281: Vec3(x=2.9001186807034243, y=2.603127894889071, z=0.9010376302899569) nm
Particle 282: Vec3(x=-0.30966718387765263, y=2.661248901682944, z=1.2096200679678484) nm
Particle 283: Vec3(x=-0.29722081136577344, y=2.566251627702008, z=1.2382662901535006) nm
Particle 284: Vec3(x=-0.2599554579989925, y=2.7216368855072455, z=1.2719260549821318) nm
Particle 285: Vec3(x=2.9482522123804533, y=2.86643557077919, z=1.5541153814967053) nm
Particle 286: Vec3(x=2.8740575193080287, y=2.8033573494987745, z=1.5313934577662887) nm
Particle 287: Vec3(x=3.0101031889922214, y=2.8746747480220467, z=1.4759708170756625) nm
Particle 288: Vec3(x=2.861577797248634, y=2.66048921166307, z=1.7790140645174863) nm
Particle 289: Vec3(x=2.876063287907396, y=2.655491581188873, z=1.8778330634399685) nm
Particle 290: Vec3(x=2.798861570246416, y=2.735566180074551, z=1.7582746338895512) nm
Particle 291: Vec3(x=-0.10030279587278866, y=2.7080861504402094, z=2.2145393261382877) nm
Particle 292: Vec3(x=-0.027617915628731105, y=2.655099993473407, z=2.1708429229474118) nm
Particle 293: Vec3(x=-0.13873042189015763, y=2.7726772436562053, z=2.148574877123269) nm
Particle 294: Vec3(x=-0.20849428797409467, y=2.908837346302589, z=2.5441699622433354) nm
Particle 295: Vec3(x=-0.11729738129645144, y=2.8778240388185816, z=2.5710269775159764) nm
Particle 296: Vec3(x=-0.2501206951335687, y=2.9593667743631746, z=2.6197610954858463) nm
Particle 297: Vec3(x=2.878998290932897, y=3.018202321943391, z=2.781309531504223) nm
