# Header information on force file

1_1
N 2000  R        0.007500       15.000000
  491      3.68250000     -0.02350200      0.43931400
  492      3.69000000     -0.02675700      0.43403500
  493      3.69750000     -0.03001300      0.42875700
  494      3.70500000     -0.03319800      0.42350500
  495      3.71250000     -0.03634800      0.41826600
  496      3.72000000     -0.03949800      0.41302700
  497      3.72750000     -0.04254300      0.40777900
  498      3.73500000     -0.04558900      0.40253200
  499      3.74250000     -0.04859900      0.39726000
  500      3.75000000     -0.05153900      0.39194100
  501      3.75750000     -0.05447800      0.38662200
  502      3.76500000     -0.05734600      0.38122000
  503      3.77250000     -0.06017700      0.37577500
  504      3.78000000     -0.06300900      0.37033100
  505      3.78750000     -0.06573100      0.36473300
  506      3.79500000     -0.06845300      0.35913600
  507      3.80250000     -0.07113600      0.35349300
  508      3.81000000     -0.07374500      0.34775900
  509      3.81750000     -0.07635300      0.34202600
  510      3.82500000     -0.07888400      0.33625000
  511      3.83250000     -0.08137700      0.33045200
  512      3.84000000     -0.08387000      0.32465500
  513      3.84750000     -0.08624700      0.31889900
  514      3.85500000     -0.08862400      0.31314300
  515      3.86250000     -0.09096400      0.30743700
  516      3.87000000     -0.09322700      0.30183100
  517      3.87750000     -0.09549100      0.29622500
  518      3.88500000     -0.09768200      0.29077200
  519      3.89250000     -0.09983600      0.28539600
  520      3.90000000     -0.10199000      0.28002000
  521      3.90750000     -0.10403900      0.27489500
  522      3.91500000     -0.10608700      0.26976900
  523      3.92250000     -0.10810200      0.26470900
  524      3.93000000     -0.11005100      0.25978000
  525      3.93750000     -0.11200000      0.25485100
  526      3.94500000     -0.11388300      0.24998000
  527      3.95250000     -0.11573300      0.24513800
  528      3.96000000     -0.11758400      0.24029600
  529      3.96750000     -0.11933700      0.23541400
  530      3.97500000     -0.12109100      0.23053200
  531      3.98250000     -0.12281100      0.22560000
  532      3.99000000     -0.12446500      0.22056800
  533      3.99750000     -0.12612000      0.21553500
  534      4.00500000     -0.12770600      0.21036500
  535      4.01250000     -0.12925700      0.20512600
  536      4.02000000     -0.13080900      0.19988700
  537      4.02750000     -0.13225400      0.19445800
  538      4.03500000     -0.13369900      0.18903000
  539      4.04250000     -0.13510700      0.18356400
  540      4.05000000     -0.13644200      0.17802100
  541      4.05750000     -0.13777700      0.17247800
  542      4.06500000     -0.13903800      0.16692900
  543      4.07250000     -0.14026200      0.16137700
  544      4.08000000     -0.14148600      0.15582400
  545      4.08750000     -0.14260000      0.15036100
  546      4.09500000     -0.14371400      0.14489700
  547      4.10250000     -0.14479300      0.13948500
  548      4.11000000     -0.14579900      0.13417700
  549      4.11750000     -0.14680500      0.12886800
  550      4.12500000     -0.14774200      0.12366900
  551      4.13250000     -0.14864400      0.11852500
  552      4.14000000     -0.14954600      0.11338200
  553      4.14750000     -0.15034600      0.10837000
  554      4.15500000     -0.15114700      0.10335700
  555      4.16250000     -0.15191300      0.09836900
  556      4.17000000     -0.15261400      0.09342600
  557      4.17750000     -0.15331500      0.08848400
  558      4.18500000     -0.15394900      0.08354500
  559      4.19250000     -0.15455100      0.07860600
  560      4.20000000     -0.15515300      0.07366700
  561      4.20750000     -0.15565500      0.06867800
  562      4.21500000     -0.15615800      0.06369000
  563      4.22250000     -0.15662700      0.05867600
  564      4.23000000     -0.15702900      0.05361300
  565      4.23750000     -0.15743200      0.04854900
  566      4.24500000     -0.15776600      0.04343800
  567      4.25250000     -0.15806600      0.03830200
  568      4.26000000     -0.15836600      0.03316700
  569      4.26750000     -0.15856300      0.02798700
  570      4.27500000     -0.15876000      0.02280800
  571      4.28250000     -0.15892200      0.01762900
  572      4.29000000     -0.15901600      0.01245000
  573      4.29750000     -0.15910900      0.00727100
  574      4.30500000     -0.15913400      0.00213200
  575      4.31250000     -0.15912400     -0.00298700
  576      4.32000000     -0.15911500     -0.00810700
  577      4.32750000     -0.15900400     -0.01310200
  578      4.33500000     -0.15889300     -0.01809800
  579      4.34250000     -0.15874900     -0.02303100
  580      4.35000000     -0.15854100     -0.02784100
  581      4.35750000     -0.15833200     -0.03265200
  582      4.36500000     -0.15806000     -0.03730800
  583      4.37250000     -0.15775800     -0.04188800
  584      4.38000000     -0.15745500     -0.04646800
  585      4.38750000     -0.15706300     -0.05080100
  586      4.39500000     -0.15667100     -0.05513300
  587      4.40250000     -0.15625100     -0.05939100
  588      4.41000000     -0.15577500     -0.06350000
  589      4.41750000     -0.15529900     -0.06760800
  590      4.42500000     -0.15476900     -0.07161000
  591      4.43250000     -0.15421200     -0.07555900
  592      4.44000000     -0.15365500     -0.07950900
  593      4.44750000     -0.15302000     -0.08339100
  594      4.45500000     -0.15238500     -0.08727200
  595      4.46250000     -0.15172400     -0.09116100
  596      4.47000000     -0.15101100     -0.09506500
  597      4.47750000     -0.15029800     -0.09896900
  598      4.48500000     -0.14953200     -0.10292900
  599      4.49250000     -0.14874100     -0.10691700
  600      4.50000000     -0.14794900     -0.11090600
  601      4.50750000     -0.14707600     -0.11498800
  602      4.51500000     -0.14620400     -0.11907000
  603      4.52250000     -0.14530400     -0.12316500
  604      4.53000000     -0.14434900     -0.12728400
  605      4.53750000     -0.14339400     -0.13140300
  606      4.54500000     -0.14238500     -0.13547500
  607      4.55250000     -0.14134900     -0.13952300
  608      4.56000000     -0.14031300     -0.14357100
  609      4.56750000     -0.13919700     -0.14742200
  610      4.57500000     -0.13808200     -0.15127300
