LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.6 on Mon Aug 08 19:28:00 CDT 2022
 512 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 1 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.003735 25.072535  xlo xhi
 -0.194845 24.873955  ylo yhi
 -0.028463 25.040337  zlo zhi

 Masses

 1 18.015400 #water

 Atoms

261 1 1 0.000000 17.521206 3.365133 20.289612 #  UNK
262 1 1 0.000000 13.845278 5.787625 2.141268 #  UNK
263 1 1 0.000000 6.903771 21.279039 18.254612 #  UNK
264 1 1 0.000000 16.670889 23.618294 18.382517 #  UNK
265 1 1 0.000000 19.730822 7.468210 6.324939 #  UNK
266 1 1 0.000000 18.596945 24.556860 24.500616 #  UNK
267 1 1 0.000000 20.829910 22.503988 19.741539 #  UNK
268 1 1 0.000000 14.295099 10.365422 12.904256 #  UNK
269 1 1 0.000000 13.524112 7.942887 7.270204 #  UNK
270 1 1 0.000000 4.394444 1.901245 8.798104 #  UNK
271 1 1 0.000000 9.950728 24.163656 2.696910 #  UNK
272 1 1 0.000000 20.242018 2.954347 23.060022 #  UNK
273 1 1 0.000000 5.600943 3.425343 0.484070 #  UNK
274 1 1 0.000000 24.577772 24.219040 12.893061 #  UNK
275 1 1 0.000000 17.573101 14.529878 22.732218 #  UNK
276 1 1 0.000000 18.105955 10.526607 24.981276 #  UNK
277 1 1 0.000000 19.840689 2.429511 2.903217 #  UNK
278 1 1 0.000000 5.882878 22.450661 5.201582 #  UNK
279 1 1 0.000000 13.403439 12.408588 10.014607 #  UNK
280 1 1 0.000000 13.694495 1.781231 1.559201 #  UNK
281 1 1 0.000000 13.087678 3.317197 6.210845 #  UNK
282 1 1 0.000000 19.142784 10.944461 15.786333 #  UNK
283 1 1 0.000000 12.061322 0.648877 12.960089 #  UNK
284 1 1 0.000000 6.399220 16.961172 3.141136 #  UNK
285 1 1 0.000000 9.802065 16.169582 15.629283 #  UNK
286 1 1 0.000000 15.524106 2.790092 17.980043 #  UNK
287 1 1 0.000000 20.226950 18.527899 13.070761 #  UNK
288 1 1 0.000000 8.251447 10.056094 15.050672 #  UNK
289 1 1 0.000000 23.289183 2.506456 0.865053 #  UNK
290 1 1 0.000000 6.344449 24.403429 22.059101 #  UNK
291 1 1 0.000000 11.742255 11.732261 17.319750 #  UNK
292 1 1 0.000000 9.892280 4.402344 5.199468 #  UNK
293 1 1 0.000000 8.027769 17.691772 11.098611 #  UNK
294 1 1 0.000000 1.564190 21.553885 11.226316 #  UNK
295 1 1 0.000000 14.672389 10.534278 20.853523 #  UNK
296 1 1 0.000000 10.918777 10.528217 9.456897 #  UNK
297 1 1 0.000000 5.770278 2.663669 4.429322 #  UNK
298 1 1 0.000000 10.460245 19.875078 12.200133 #  UNK
299 1 1 0.000000 1.036689 11.171678 25.010902 #  UNK
300 1 1 0.000000 2.172987 21.554443 17.011473 #  UNK
301 1 1 0.000000 14.072822 0.473628 23.524578 #  UNK
302 1 1 0.000000 3.277625 23.444340 18.624483 #  UNK
303 1 1 0.000000 19.819567 11.671522 7.827465 #  UNK
304 1 1 0.000000 24.059757 3.818924 3.657219 #  UNK
305 1 1 0.000000 6.477926 18.747072 24.608576 #  UNK
306 1 1 0.000000 9.438013 8.987233 24.770700 #  UNK
307 1 1 0.000000 1.817268 17.221750 5.108843 #  UNK
308 1 1 0.000000 2.616917 0.612535 23.651655 #  UNK
309 1 1 0.000000 0.656549 14.642734 4.866624 #  UNK
310 1 1 0.000000 6.249523 7.830407 9.139112 #  UNK
311 1 1 0.000000 6.949961 13.184594 12.704455 #  UNK
312 1 1 0.000000 21.062979 23.118738 0.042438 #  UNK
313 1 1 0.000000 5.656852 11.095944 18.670334 #  UNK
314 1 1 0.000000 13.955295 14.745889 11.979222 #  UNK
315 1 1 0.000000 23.904194 7.240447 4.613054 #  UNK
316 1 1 0.000000 20.097839 16.486300 0.200376 #  UNK
317 1 1 0.000000 14.065572 23.407063 5.240483 #  UNK
318 1 1 0.000000 7.913003 6.924461 11.400228 #  UNK
319 1 1 0.000000 21.703884 1.717315 8.710485 #  UNK
320 1 1 0.000000 23.681721 3.885639 6.332786 #  UNK
321 1 1 0.000000 0.964654 23.866051 1.692689 #  UNK
322 1 1 0.000000 14.435962 4.032631 0.102696 #  UNK
323 1 1 0.000000 13.975406 4.886751 12.617011 #  UNK
324 1 1 0.000000 14.498960 12.088083 14.946584 #  UNK
325 1 1 0.000000 16.278021 19.973099 0.775190 #  UNK
326 1 1 0.000000 8.582450 15.677383 13.010989 #  UNK
327 1 1 0.000000 2.515410 21.880301 8.379905 #  UNK
328 1 1 0.000000 4.888542 8.322556 15.464400 #  UNK
329 1 1 0.000000 4.610030 19.981394 10.903433 #  UNK
330 1 1 0.000000 16.268410 9.566296 9.836080 #  UNK
331 1 1 0.000000 12.285794 6.694482 5.008042 #  UNK
332 1 1 0.000000 19.406105 21.968044 13.133717 #  UNK
333 1 1 0.000000 12.078411 3.487508 18.440989 #  UNK
334 1 1 0.000000 14.784150 14.917611 23.643438 #  UNK
335 1 1 0.000000 6.954037 18.316816 7.585491 #  UNK
336 1 1 0.000000 2.784995 17.472473 14.276511 #  UNK
337 1 1 0.000000 8.170275 24.255562 4.825737 #  UNK
338 1 1 0.000000 9.307734 5.326499 0.307238 #  UNK
339 1 1 0.000000 23.524355 21.501917 6.254011 #  UNK
340 1 1 0.000000 23.263201 10.065265 8.101984 #  UNK
341 1 1 0.000000 13.735911 21.368668 7.521144 #  UNK
342 1 1 0.000000 17.227367 14.154422 14.200460 #  UNK
343 1 1 0.000000 24.419390 7.602155 14.798878 #  UNK
344 1 1 0.000000 9.769235 8.211910 13.089517 #  UNK
345 1 1 0.000000 9.238253 17.718889 24.936003 #  UNK
346 1 1 0.000000 23.692450 18.833799 1.237346 #  UNK
347 1 1 0.000000 23.636805 14.874061 23.951866 #  UNK
348 1 1 0.000000 16.744606 23.015594 13.882790 #  UNK
349 1 1 0.000000 5.979245 4.184748 8.933353 #  UNK
350 1 1 0.000000 20.381498 16.060583 20.137934 #  UNK
351 1 1 0.000000 4.372303 10.759973 7.726303 #  UNK
352 1 1 0.000000 21.209299 13.052372 13.182966 #  UNK
353 1 1 0.000000 21.526350 11.909451 16.435434 #  UNK
354 1 1 0.000000 16.548916 3.454949 7.604857 #  UNK
355 1 1 0.000000 1.363971 21.106361 4.116767 #  UNK
356 1 1 0.000000 16.599556 1.062755 6.434394 #  UNK
357 1 1 0.000000 16.258728 23.498417 23.469589 #  UNK
358 1 1 0.000000 19.548628 4.873727 21.373617 #  UNK
359 1 1 0.000000 17.508995 17.229494 8.344470 #  UNK
360 1 1 0.000000 15.642077 13.497461 7.544911 #  UNK
