Particle 251: Vec3(x=2.389160979102141, y=2.13787158400791, z=1.1331830189700698) nm
Particle 252: Vec3(x=0.6991359247129859, y=2.014384944663678, z=0.25933543001709675) nm
Particle 253: Vec3(x=1.8513414457556545, y=0.5881108253567413, z=0.34157684678492295) nm
Particle 254: Vec3(x=2.2388783494566526, y=2.4346771523174997, z=1.002824484433711) nm
Particle 255: Vec3(x=0.5010185528117042, y=0.0023555245497448346, z=1.203966530316269) nm
Particle 256: Vec3(x=1.6506183996024046, y=0.14780023529934488, z=2.2320459187020627) nm
Particle 257: Vec3(x=2.122248325159808, y=1.791277001124819, z=0.3984577017085223) nm
Particle 258: Vec3(x=0.7877242559355625, y=1.289489865221687, z=1.0453134592084181) nm
Particle 259: Vec3(x=0.629251175376365, y=0.7294785102318562, z=1.7725740986632066) nm
Particle 260: Vec3(x=1.7621494346936684, y=0.3011998003078769, z=2.065443594051123) nm
Particle 261: Vec3(x=1.3784280432887377, y=0.5680464819691642, z=0.17798540578694635) nm
Particle 262: Vec3(x=0.7094654347290359, y=2.1565626931898767, z=1.8536146215457943) nm
Particle 263: Vec3(x=1.6703731408246847, y=2.4309022291529, z=1.8599493619049434) nm
Particle 264: Vec3(x=1.8789064131640492, y=0.7040440435585024, z=0.6927435086520402) nm
Particle 265: Vec3(x=1.8842887186144242, y=2.4952938092050636, z=2.4844834611857594) nm
Particle 266: Vec3(x=2.088775694431985, y=2.231004824587971, z=2.054446093846465) nm
Particle 267: Vec3(x=1.4479194032927183, y=1.0837019999092135, z=1.2754681186736905) nm
Particle 268: Vec3(x=1.3475313799396178, y=0.7518415139750316, z=0.6994701779401284) nm
Particle 269: Vec3(x=0.5898891328721878, y=0.32133341542021543, z=0.8062677603497052) nm
Particle 270: Vec3(x=0.9348709809562229, y=2.3705561554623693, z=0.22679878108852736) nm
Particle 271: Vec3(x=1.9836972008498592, y=0.2439919549803175, z=2.3014421890382732) nm
Particle 272: Vec3(x=0.547785047478761, y=0.3054146973582349, z=-0.02149942760838836) nm
Particle 273: Vec3(x=2.4467517895856363, y=2.461823978892591, z=1.376227356657502) nm
Particle 274: Vec3(x=1.8009153411714014, y=1.4585798572870765, z=2.25292036685165) nm
Particle 275: Vec3(x=1.8169986255324002, y=1.0632239281771745, z=2.5406077078301057) nm
Particle 276: Vec3(x=1.992378451091046, y=0.2687305411305207, z=0.31287023835061356) nm
Particle 277: Vec3(x=0.5803147116719435, y=2.292943551250668, z=0.5556989065767819) nm
Particle 278: Vec3(x=1.3075288404895289, y=1.2778076996638943, z=1.018014087217022) nm
Particle 279: Vec3(x=1.3553370310622808, y=0.13779450172815164, z=0.08853162937681865) nm
Particle 280: Vec3(x=1.3068332475005195, y=0.2921301208668565, z=0.5729759697743766) nm
Particle 281: Vec3(x=1.9953776535587568, y=1.1179567808479658, z=1.4974287131897677) nm
Particle 282: Vec3(x=1.0782274390755373, y=0.15678697906091876, z=1.2488310136287433) nm
Particle 283: Vec3(x=0.6000738864106888, y=1.7236150915074981, z=0.35806134129957584) nm
Particle 284: Vec3(x=1.0838807887161792, y=1.5768098647711273, z=1.5006369329648743) nm
Particle 285: Vec3(x=1.5863845962146528, y=0.18392623856382082, z=1.8291416121980977) nm
Particle 286: Vec3(x=2.0732083935472083, y=1.8900001735202032, z=1.3060626281080288) nm
Particle 287: Vec3(x=0.8068896274759935, y=0.9907336064661184, z=1.515811577985631) nm
Particle 288: Vec3(x=2.383999818604967, y=0.2065324507262, z=0.04745846659739055) nm
Particle 289: Vec3(x=0.5634435210654252, y=2.2846708555379913, z=2.081596058707692) nm
Particle 290: Vec3(x=1.1785164447621892, y=1.1386656135408408, z=1.738398489893929) nm
Particle 291: Vec3(x=0.8974155359225753, y=0.5669409506525815, z=0.5645754125990314) nm
Particle 292: Vec3(x=0.7957992168390785, y=1.7873119963341602, z=1.1051221930217687) nm
Particle 293: Vec3(x=0.19250626544244742, y=2.044663027141603, z=1.0827904889271986) nm
Particle 294: Vec3(x=1.3753750232792037, y=1.0508235038453568, z=1.9508148036686144) nm
Particle 295: Vec3(x=1.1581286727705784, y=1.0081718673252218, z=0.914240210584301) nm
Particle 296: Vec3(x=0.565275502909276, y=0.2513516994315292, z=0.4228882001321995) nm
Particle 297: Vec3(x=1.013166746116466, y=1.8339737033597405, z=1.2303814602054202) nm
Particle 298: Vec3(x=0.03177979179317526, y=1.1251034947485408, z=2.5497896553717663) nm
Particle 299: Vec3(x=0.2149482522760926, y=2.1649050956521814, z=1.735001450818556) nm
Particle 300: Vec3(x=1.4230459120118637, y=-0.056312533851171825, z=2.404792160560401) nm
