# Header information on force file

1_1
N 2000  R        0.005000       10.000000
  343      1.71500000     85.58711900    782.30672900
  344      1.72000000     85.03479400    777.25528800
  345      1.72500000     84.48246900    772.20384700
  346      1.73000000     83.93014300    767.15240600
  347      1.73500000     83.37781800    762.10096500
  348      1.74000000     82.82549300    757.04952400
  349      1.74500000     82.27316800    751.99808300
  350      1.75000000     81.72084200    746.94664200
  351      1.75500000     81.16851700    741.89520100
  352      1.76000000     80.61619200    736.84376000
  353      1.76500000     80.06386700    731.79231900
  354      1.77000000     79.51154100    726.74087800
  355      1.77500000     78.95921600    721.68943700
  356      1.78000000     78.40689100    716.63799600
  357      1.78500000     77.85456600    711.58655500
  358      1.79000000     77.30224000    706.53511400
  359      1.79500000     76.74991500    701.48367300
  360      1.80000000     76.19759000    696.43223200
  361      1.80500000     75.64526500    691.38079100
  362      1.81000000     75.09293900    686.32935000
  363      1.81500000     74.54061400    681.27790900
  364      1.82000000     73.98828900    676.22646800
  365      1.82500000     73.43596400    671.17502700
  366      1.83000000     72.88363800    666.12358600
  367      1.83500000     72.33131300    661.07214500
  368      1.84000000     71.77898800    656.02070400
  369      1.84500000     71.22666300    650.96926300
  370      1.85000000     70.67433700    645.91782200
  371      1.85500000     70.12201200    640.86638100
  372      1.86000000     69.56968700    635.81494000
  373      1.86500000     69.01736200    630.76349900
  374      1.87000000     68.46503600    625.71205800
  375      1.87500000     67.91271100    620.66061700
  376      1.88000000     67.36038600    615.60917600
  377      1.88500000     66.80806100    610.55773500
  378      1.89000000     66.25573500    605.50629400
  379      1.89500000     65.70341000    600.45485300
  380      1.90000000     65.15108500    595.40341200
  381      1.90500000     64.59876000    590.35197100
  382      1.91000000     64.04643400    585.30053000
  383      1.91500000     63.49410900    580.24908900
  384      1.92000000     62.94178400    575.19764800
  385      1.92500000     62.38945900    570.14620700
  386      1.93000000     61.83713300    565.09476600
  387      1.93500000     61.28480800    560.04332500
  388      1.94000000     60.73248300    554.99188400
  389      1.94500000     60.18015800    549.94044300
  390      1.95000000     59.62783200    544.88900200
  391      1.95500000     59.07550700    539.83756100
  392      1.96000000     58.52318200    534.78612000
  393      1.96500000     57.97085700    529.73467900
  394      1.97000000     57.41853100    524.68323800
  395      1.97500000     56.86620600    519.63179700
  396      1.98000000     56.31388100    514.58035600
  397      1.98500000     55.76155600    509.52891500
  398      1.99000000     55.20923000    504.47747400
  399      1.99500000     54.65690500    499.42603300
  400      2.00000000     54.10458000    494.37459200
  401      2.00500000     53.55225500    489.32315100
  402      2.01000000     52.99992900    484.27171000
  403      2.01500000     52.44760400    479.22026900
  404      2.02000000     51.89527900    474.16882800
  405      2.02500000     51.34295400    469.11738700
  406      2.03000000     50.79062800    464.06594600
  407      2.03500000     50.23830300    459.01450500
  408      2.04000000     49.68597800    453.96306400
  409      2.04500000     49.13365300    448.91162300
  410      2.05000000     48.58132700    443.86018200
  411      2.05500000     48.02900200    438.80874100
  412      2.06000000     47.47667700    433.75730000
  413      2.06500000     46.92435200    428.70585900
  414      2.07000000     46.37202600    423.65441800
  415      2.07500000     45.81970100    418.60297700
  416      2.08000000     45.26737600    413.55153600
  417      2.08500000     44.71505100    408.50009500
  418      2.09000000     44.16272500    403.44865400
  419      2.09500000     43.61040000    398.39721300
  420      2.10000000     43.05807500    393.34577200
  421      2.10500000     42.50575000    388.29433100
  422      2.11000000     41.95342400    383.24289000
  423      2.11500000     41.40109900    378.19144900
  424      2.12000000     40.84877400    373.14000800
  425      2.12500000     40.29644900    368.08856700
  426      2.13000000     39.74412300    363.03712600
  427      2.13500000     39.19179800    357.98568500
  428      2.14000000     38.63947300    352.93424400
  429      2.14500000     38.08714800    347.88280300
  430      2.15000000     37.53482200    342.83136200
  431      2.15500000     36.98249700    337.77992100
  432      2.16000000     36.43017200    332.72848000
  433      2.16500000     35.87784700    327.67703900
  434      2.17000000     35.32552100    322.62559800
  435      2.17500000     34.77319600    317.57415700
  436      2.18000000     34.22087100    312.52271600
  437      2.18500000     33.66854600    307.47127500
  438      2.19000000     33.11622000    302.41983400
  439      2.19500000     32.56389500    297.36839300
  440      2.20000000     32.01157000    292.31695200
  441      2.20500000     31.45924500    287.26551100
  442      2.21000000     30.90691900    282.21407000
  443      2.21500000     30.35459400    277.16262900
  444      2.22000000     29.80226900    272.11118800
  445      2.22500000     29.24994400    267.05974700
  446      2.23000000     28.69761800    262.00830600
  447      2.23500000     28.14529300    256.95686500
  448      2.24000000     27.59296800    251.90542400
  449      2.24500000     27.04064300    246.85398300
  450      2.25000000     26.48831700    241.80254200
  451      2.25500000     25.93599200    236.75110100
  452      2.26000000     25.38366700    231.69966000
  453      2.26500000     24.83134200    226.64821900
  454      2.27000000     24.27901600    221.59677800
  455      2.27500000     23.72669100    216.54533700
  456      2.28000000     23.17436600    211.49389600
  457      2.28500000     22.62204100    206.44245500
  458      2.29000000     22.06971500    201.39101400
  459      2.29500000     21.51739000    196.33957300
  460      2.30000000     20.96506500    191.28813200
  461      2.30500000     20.41274000    186.23669100
  462      2.31000000     19.86041400    181.18525000
  463      2.31500000     19.30808900    176.13380900
  464      2.32000000     18.75576400    171.08236800
  465      2.32500000     18.20343900    166.03092700
  466      2.33000000     17.65111300    160.97948600
  467      2.33500000     17.09878800    155.92804500
  468      2.34000000     16.54646300    150.87660400
  469      2.34500000     15.99413800    145.82516300
  470      2.35000000     15.44181200    140.77372200
  471      2.35500000     14.88948700    135.72228100
  472      2.36000000     14.33716200    130.67084000
  473      2.36500000     13.78483700    125.61939900
  474      2.37000000     13.23251100    120.56795800
  475      2.37500000     12.68018600    115.51651700
  476      2.38000000     12.12786100    110.46507600
  477      2.38500000     11.57553600    105.41363500
  478      2.39000000     11.02321000    100.36219400
  479      2.39500000     10.47088500     95.31075300
  480      2.40000000      9.91856000     90.25931200
  481      2.40500000      9.39959800     85.54597500
  482      2.41000000      8.88063600     80.83263900
  483      2.41500000      8.36167400     76.11930200
  484      2.42000000      7.84271200     71.40596600
  485      2.42500000      7.50969000     69.00515500
  486      2.43000000      7.17666800     66.60434400
  487      2.43500000      6.84364700     64.20353300
  488      2.44000000      6.51062500     61.80272200
  489      2.44500000      6.22330700     59.63313300
  490      2.45000000      5.93598900     57.46354300
  491      2.45500000      5.64867200     55.29395300
  492      2.46000000      5.36135400     53.12436400
  493      2.46500000      5.11516600     51.18101400
  494      2.47000000      4.86897700     49.23766300
  495      2.47500000      4.62278900     47.29431200
  496      2.48000000      4.37660100     45.35096200
  497      2.48500000      4.16710600     43.62496900
  498      2.49000000      3.95761100     41.89897600
  499      2.49500000      3.74811600     40.17298400
  500      2.50000000      3.53862100     38.44699100
  501      2.50500000      3.36159300     36.92630600
  502      2.51000000      3.18456500     35.40562100
  503      2.51500000      3.00753700     33.88493700
  504      2.52000000      2.83050900     32.36425200
  505      2.52500000      2.68198600     31.03438900
  506      2.53000000      2.53346300     29.70452500
  507      2.53500000      2.38494100     28.37466200
  508      2.54000000      2.23641800     27.04479900
  509      2.54500000      2.11274700     25.88956700
  510      2.55000000      1.98907500     24.73433400
  511      2.55500000      1.86540300     23.57910100
  512      2.56000000      1.74173200     22.42386900
  513      2.56500000      1.63959000     21.42610300
  514      2.57000000      1.53744900     20.42833600
  515      2.57500000      1.43530700     19.43056900
  516      2.58000000      1.33316500     18.43280300
  517      2.58500000      1.24957800     17.57509600
  518      2.59000000      1.16599100     16.71738900
  519      2.59500000      1.08240400     15.85968100
  520      2.60000000      0.99881700     15.00197400
  521      2.60500000      0.93115300     14.26741000
  522      2.61000000      0.86348900     13.53284600
  523      2.61500000      0.79582400     12.79828100
  524      2.62000000      0.72816000     12.06371700
  525      2.62500000      0.67411300     11.43659300
  526      2.63000000      0.62006600     10.80946900
  527      2.63500000      0.56601800     10.18234400
  528      2.64000000      0.51197100      9.55522000
  529      2.64500000      0.46953100      9.02157600
  530      2.65000000      0.42709200      8.48793200
  531      2.65500000      0.38465200      7.95428700
  532      2.66000000      0.34221200      7.42064300
  533      2.66500000      0.30963200      6.96829600
  534      2.67000000      0.27705300      6.51595000
  535      2.67500000      0.24447300      6.06360300
  536      2.68000000      0.21189300      5.61125600
  537      2.68500000      0.18765300      5.22964100
  538      2.69000000      0.16341300      4.84802600
  539      2.69500000      0.13917300      4.46641000
  540      2.70000000      0.11493300      4.08479500
  541      2.70500000      0.09770900      3.76479400
  542      2.71000000      0.08048500      3.44479400
  543      2.71500000      0.06326100      3.12479300
  544      2.72000000      0.04603700      2.80479200
  545      2.72500000      0.03467500      2.53856900
  546      2.73000000      0.02331400      2.27234600
  547      2.73500000      0.01195200      2.00612300
  548      2.74000000      0.00059000      1.73990000
  549      2.74500000     -0.00591800      1.52073100
  550      2.75000000     -0.01242500      1.30156300
  551      2.75500000     -0.01893300      1.08239400
  552      2.76000000     -0.02544100      0.86322600
  553      2.76500000     -0.02797800      0.68533200
  554      2.77000000     -0.03051600      0.50743900
  555      2.77500000     -0.03305300      0.32954500
  556      2.78000000     -0.03559000      0.15165200
  557      2.78500000     -0.03493200      0.01003100
  558      2.79000000     -0.03427400     -0.13159100
  559      2.79500000     -0.03361600     -0.27321200
  560      2.80000000     -0.03295800     -0.41483300
  561      2.80500000     -0.02978600     -0.52457600
  562      2.81000000     -0.02661500     -0.63431900
  563      2.81500000     -0.02344300     -0.74406200
  564      2.82000000     -0.02027200     -0.85380500
  565      2.82500000     -0.01518500     -0.93562200
  566      2.83000000     -0.01009700     -1.01743900
  567      2.83500000     -0.00501000     -1.09925600
  568      2.84000000      0.00007700     -1.18107300
  569      2.84500000      0.00655800     -1.23860700
  570      2.85000000      0.01303900     -1.29614100
  571      2.85500000      0.01951900     -1.35367400
  572      2.86000000      0.02600000     -1.41120800
  573      2.86500000      0.03342200     -1.44783400
  574      2.87000000      0.04084500     -1.48446000
  575      2.87500000      0.04826700     -1.52108500
  576      2.88000000      0.05568900     -1.55771100
  577      2.88500000      0.06366600     -1.57654600
  578      2.89000000      0.07164300     -1.59538200
  579      2.89500000      0.07962000     -1.61421700
  580      2.90000000      0.08759700     -1.63305200
  581      2.90500000      0.09580100     -1.63696300
  582      2.91000000      0.10400600     -1.64087400
  583      2.91500000      0.11221000     -1.64478400
  584      2.92000000      0.12041400     -1.64869500
  585      2.92500000      0.12857400     -1.64030300
  586      2.93000000      0.13673300     -1.63191100
  587      2.93500000      0.14489300     -1.62352000
  588      2.94000000      0.15305200     -1.61512800
  589      2.94500000      0.16094400     -1.59681900
  590      2.95000000      0.16883700     -1.57850900
  591      2.95500000      0.17673000     -1.56019900
  592      2.96000000      0.18462200     -1.54189000
  593      2.96500000      0.19207100     -1.51581700
  594      2.97000000      0.19952000     -1.48974400
  595      2.97500000      0.20696800     -1.46367100
  596      2.98000000      0.21441700     -1.43759800
  597      2.98500000      0.22128600     -1.40569300
  598      2.99000000      0.22815500     -1.37378800
  599      2.99500000      0.23502400     -1.34188400
  600      3.00000000      0.24189300     -1.30997900
  601      3.00500000      0.24808300     -1.27395800
  602      3.01000000      0.25427300     -1.23793700
  603      3.01500000      0.26046200     -1.20191600
  604      3.02000000      0.26665200     -1.16589500
  605      3.02500000      0.27209500     -1.12726400
  606      3.03000000      0.27753800     -1.08863300
  607      3.03500000      0.28298100     -1.05000200
  608      3.04000000      0.28842400     -1.01137100
  609      3.04500000      0.29308100     -0.97143600
  610      3.05000000      0.29773900     -0.93150000
  611      3.05500000      0.30239700     -0.89156400
  612      3.06000000      0.30705400     -0.85162900
  613      3.06500000      0.31091100     -0.81150400
  614      3.07000000      0.31476800     -0.77137900
  615      3.07500000      0.31862500     -0.73125500
  616      3.08000000      0.32248200     -0.69113000
  617      3.08500000      0.32554400     -0.65175100
  618      3.09000000      0.32860500     -0.61237200
  619      3.09500000      0.33166700     -0.57299200
  620      3.10000000      0.33472900     -0.53361300
  621      3.10500000      0.33701800     -0.49574600
  622      3.11000000      0.33930800     -0.45787800
  623      3.11500000      0.34159800     -0.42001000
  624      3.12000000      0.34388700     -0.38214300
  625      3.12500000      0.34544000     -0.34639700
  626      3.13000000      0.34699300     -0.31065100
  627      3.13500000      0.34854700     -0.27490500
  628      3.14000000      0.35010000     -0.23915900
  629      3.14500000      0.35096400     -0.20599700
  630      3.15000000      0.35182800     -0.17283500
  631      3.15500000      0.35269300     -0.13967200
